iter	Passed	Remaining
808	7210	6158
809	7220	6151
810	7229	6142
811	7239	6133
812	7248	6125
813	7258	6116
814	7267	6108
815	7277	6100
816	7292	6096
817	7310	6095
818	7329	6094
819	7340	6086
820	7350	6079
821	7372	6081
822	7378	6069
823	7385	6059
824	7394	6050
825	7404	6042
826	7410	6030
827	7421	6022
828	7430	6014
829	7439	6005
830	7445	5994
831	7451	5982
832	7460	5974
833	7470	5965
834	7479	5956
835	7488	5947
836	7497	5938
837	7505	5929
838	7514	5920
839	7523	5911
840	7537	5905
841	7543	5894
842	7552	5886
843	7561	5877
844	7568	5866
845	7577	5857
846	7586	5849
847	7592	5837
848	7613	5837
849	7704	5891
850	7734	5898
851	7744	5889
852	7753	5881
853	7763	5872
854	7768	5860
855	7778	5851
856	7787	5842
857	7796	5833
858	7804	5823
859	7816	5816
860	7829	5810
861	7840	5802
862	7859	5801
863	7869	5792
864	7879	5784
865	7887	5774
866	7897	5765
867	7906	5756
868	7917	5748
869	7927	5740
870	7936	5731
871	7946	5722
872	7954	5713
873	7961	5702
874	7969	5692
875	8045	5730
876	8091	5748
877	8117	5750
878	8125	5740
879	8161	5750
880	8168	5739
881	8179	5731
882	8188	5721
883	8197	5712
884	8205	5702
885	8214	5692
886	8223	5683
887	8232	5673
888	8242	5665
889	8251	5655
890	8261	5646
891	8266	5634
892	8273	5623
893	8282	5614
894	8292	5605
895	8301	5596
896	8310	5586
897	8319	5577
898	8328	5568
899	8339	5559
900	8360	5557
901	8369	5548
902	8379	5539
903	8388	5530
904	8397	5521
905	8406	5511
906	8415	5502
907	8425	5493
908	8434	5484
909	8444	5475
910	8453	5465
911	8462	5456
912	8471	5446
913	8480	5437
914	8490	5428
915	8496	5416
916	8503	5406
917	8514	5398
918	8524	5389
919	8533	5379
920	8542	5370
921	8552	5361
922	8561	5352
923	8570	5342
924	8591	5340
925	8597	5329
926	8608	5321
927	8624	5315
928	8634	5307
929	8641	5296
930	8650	5286
931	8659	5277
932	8669	5268
933	8677	5258
934	8687	5249
935	8693	5238
936	8702	5229
937	8709	5218
938	8719	5209
939	8728	5199
940	8738	5191
941	8746	5181
942	8756	5172
943	8765	5162
944	8774	5153
945	8783	5143
946	8792	5134
947	8798	5122
948	8808	5114
949	8819	5105
950	8838	5102
951	8847	5092
952	8857	5083
953	8866	5074
954	8875	5064
955	8884	5055
956	8893	5046
957	8899	5035
958	8906	5024
959	8915	5015
960	8924	5005
961	8934	4996
962	8942	4986
963	8952	4977
964	8960	4967
965	8970	4958
966	8978	4949
967	8987	4939
968	8997	4930
969	9006	4920
970	9015	4911
971	9024	4902
972	9033	4892
973	9042	4883
974	9052	4874
975	9057	4862
976	9068	4854
977	9086	4849
978	9092	4838
979	9102	4829
980	9112	4820
981	9121	4811
982	9130	4802
983	9139	4792
984	9149	4783
985	9158	4774
986	9167	4764
987	9176	4755
988	9182	4744
989	9191	4735
990	9201	4726
991	9211	4716
992	9219	4707
993	9229	4698
994	9235	4687
995	9240	4675
996	9249	4666
997	9258	4657
998	9267	4647
999	9277	4638
1000	9285	4629
1001	9296	4620
1002	9306	4611
1003	9316	4602
1004	9333	4597
1005	9339	4586
1006	9346	4575
1007	9355	4566
1008	9364	4556
1009	9374	4547
1010	9382	4538
1011	9392	4528
1012	9400	4519
1013	9410	4510
1014	9419	4500
1015	9425	4490
1016	9434	4480
1017	9443	4471
1018	9452	4462
1019	9461	4452
1020	9471	4443
1021	9479	4433
1022	9489	4424
1023	9498	4415
1024	9511	4407
1025	9520	4398
1026	9529	4388
1027	9539	4380
1028	9545	4369
1029	9554	4359
1030	9560	4349
1031	9579	4344
1032	9585	4333
1033	9595	4324
1034	9605	4315
1035	9614	4306
1036	9623	4296
1037	9632	4287
1038	9642	4278
1039	9651	4268
1040	9659	4259
1041	9669	4249
1042	9677	4240
1043	9686	4230
1044	9694	4221
1045	9704	4212
1046	9713	4202
1047	9720	4192
1048	9728	4182
1049	9738	4173
1050	9747	4164
1051	9757	4155
1052	9766	4145
1053	9777	4137
1054	9789	4129
1055	9799	4120
1056	9810	4111
1057	9827	4105
1058	9834	4095
1059	9843	4086
1060	9853	4076
1061	9862	4067
1062	9871	4058
1063	9880	4048
1064	9888	4039
1065	9898	4030
1066	9907	4020
1067	9917	4011
1068	9923	4000
1069	9932	3991
1070	9940	3981
1071	9950	3972
1072	9958	3963
1073	9968	3954
1074	9974	3943
1075	9984	3934
1076	9992	3924
1077	10004	3916
1078	10013	3907
1079	10022	3897
1080	10032	3888
1081	10040	3878
1082	10050	3869
1083	10071	3865
1084	10080	3855
1085	10086	3845
1086	10097	3836
1087	10106	3826
1088	10116	3818
1089	10125	3808
1090	10134	3799
1091	10140	3788
1092	10150	3779
1093	10159	3770
1094	10165	3760
1095	10174	3750
1096	10183	3741
1097	10192	3731
1098	10200	3722
1099	10210	3712
1100	10219	3703
1101	10228	3694
1102	10236	3684
1103	10247	3675
1104	10257	3666
1105	10267	3657
1106	10278	3649
1107	10287	3639
1108	10297	3630
1109	10319	3625
1110	10330	3616
1111	10340	3607
1112	10350	3598
1113	10361	3590
1114	10371	3581
1115	10380	3571
1116	10391	3562
1117	10401	3553
1118	10412	3545
1119	10418	3534
1120	10428	3525
1121	10438	3516
1122	10445	3506
1123	10454	3497
1124	10464	3488
1125	10475	3479
1126	10483	3469
1127	10495	3461
1128	10505	3452
1129	10514	3442
1130	10523	3433
1131	10533	3424
1132	10538	3413
1133	10558	3407
1134	10565	3397
1135	10574	3388
1136	10585	3379
1137	10595	3370
1138	10604	3360
1139	10613	3351
1140	10621	3342
1141	10631	3332
1142	10640	3323
1143	10650	3314
1144	10658	3304
1145	10667	3295
1146	10676	3285
1147	10683	3275
1148	10694	3266
1149	10703	3257
1150	10712	3248
1151	10721	3238
1152	10730	3229
1153	10739	3220
1154	10745	3209
1155	10755	3200
1156	10765	3191
1157	10774	3182
1158	10784	3172
1159	10807	3167
1160	10813	3157
1161	10822	3148
1162	10831	3138
1163	10840	3129
1164	10849	3119
1165	10858	3110
1166	10866	3100
1167	10876	3091
1168	10885	3082
1169	10895	3073
1170	10900	3062
1171	10910	3053
1172	10918	3043
1173	10928	3034
1174	10933	3024
1175	10943	3015
1176	10952	3005
1177	10961	2996
1178	10970	2987
1179	10981	2977
1180	10987	2967
1181	10996	2958
1182	11005	2949
1183	11015	2939
1184	11024	2930
1185	11030	2920
1186	11038	2910
1187	11053	2902
1188	11060	2893
1189	11065	2882
1190	11078	2874
1191	11088	2865
1192	11097	2855
1193	11103	2845
1194	11112	2836
1195	11121	2826
1196	11129	2817
1197	11136	2807
1198	11144	2797
1199	11153	2788
1200	11162	2779
1201	11172	2769
1202	11181	2760
1203	11191	2751
1204	11200	2742
1205	11210	2732
1206	11219	2723
1207	11228	2714
1208	11237	2704
1209	11246	2695
1210	11255	2686
1211	11264	2676
1212	11275	2667
1213	11295	2661
1214	11307	2652
1215	11317	2643
1216	11326	2633
1217	11337	2624
1218	11342	2614
1219	11352	2605
1220	11362	2596
1221	11372	2587
1222	11390	2579
1223	11396	2569
1224	11406	2560
1225	11418	2551
1226	11423	2541
1227	11433	2532
1228	11442	2523
1229	11454	2514
1230	11464	2505
1231	11473	2495
1232	11484	2487
1233	11495	2477
1234	11505	2468
1235	11515	2459
1236	11525	2450
1237	11544	2443
1238	11554	2433
1239	11563	2424
1240	11572	2415
1241	11583	2406
1242	11592	2396
1243	11602	2387
1244	11611	2378
1245	11620	2368
1246	11629	2359
1247	11638	2350
1248	11648	2340
1249	11656	2331
1250	11667	2322
1251	11676	2313
1252	11686	2303
1253	11697	2294
1254	11707	2285
1255	11717	2276
1256	11726	2266
1257	11737	2257
1258	11750	2249
1259	11757	2239
1260	11767	2230
1261	11787	2223
1262	11805	2215
1263	11812	2205
1264	11823	2196
1265	11831	2186
1266	11841	2177
1267	11852	2168
1268	11864	2159
1269	11874	2150
1270	11883	2141
1271	11888	2130
1272	11899	2121
1273	11909	2112
1274	11918	2103
1275	11928	2094
1276	11938	2084
1277	11945	2075
1278	11954	2065
1279	11964	2056
1280	11974	2047
1281	11983	2037
1282	11994	2028
1283	12003	2019
1284	12013	2009
1285	12031	2002
1286	12042	1993
1287	12051	1983
1288	12061	1974
1289	12070	1965
1290	12080	1955
1291	12091	1946
1292	12096	1936
1293	12105	1927
1294	12114	1917
1295	12125	1908
1296	12134	1899
1297	12144	1889
1298	12153	1880
1299	12162	1871
1300	12172	1861
1301	12181	1852
1302	12192	1843
1303	12201	1834
1304	12211	1824
1305	12221	1815
1306	12231	1806
1307	12242	1796
1308	12251	1787
1309	12261	1778
1310	12291	1771
1311	12302	1762
1312	12308	1753
1313	12318	1743
1314	12324	1733
1315	12334	1724
1316	12342	1714
1317	12347	1705
1318	12355	1695
1319	12369	1686
1320	12381	1677
1321	12393	1668
1322	12399	1658
1323	12411	1649
1324	12424	1641
1325	12434	1631
1326	12441	1622
1327	12451	1612
1328	12461	1603
1329	12471	1594
1330	12481	1584
1331	12492	1575
1332	12501	1566
1333	12523	1558
1334	12529	1548
1335	12535	1538
1336	12545	1529
1337	12556	1520
1338	12565	1510
1339	12572	1501
1340	12582	1491
1341	12589	1482
1342	12598	1472
1343	12607	1463
1344	12617	1454
1345	12626	1444
1346	12636	1435
1347	12645	1425
1348	12656	1416
1349	12666	1407
1350	12673	1397
1351	12679	1387
1352	12689	1378
1353	12698	1369
1354	12708	1359
1355	12717	1350
1356	12727	1341
1357	12737	1331
1358	12747	1322
1359	12766	1314
1360	12772	1304
1361	12782	1295
1362	12791	1285
1363	12801	1276
1364	12810	1266
1365	12819	1257
1366	12825	1247
1367	12835	1238
1368	12844	1229
1369	12850	1219
1370	12860	1210
1371	12870	1200
1372	12880	1191
1373	12890	1182
1374	12900	1172
1375	12911	1163
1376	12920	1154
1377	12929	1144
1378	12938	1135
1379	12948	1125
1380	12957	1116
1381	12967	1107
1382	12977	1097
1383	12985	1088
1384	13010	1080
1385	13020	1070
1386	13031	1061
1387	13041	1052
1388	13050	1042
1389	13059	1033
1390	13068	1024
1391	13078	1014
1392	13087	1005
1393	13097	995
1394	13110	986
1395	13119	977
1396	13129	968
1397	13142	958
1398	13152	949
1399	13162	940
1400	13172	930
1401	13182	921
1402	13192	912
1403	13202	902
1404	13211	893
1405	13221	883
1406	13230	874
1407	13242	865
1408	13259	856
1409	13265	846
1410	13276	837
1411	13282	827
1412	13292	818
1413	13302	809
1414	13311	799
1415	13321	790
1416	13330	780
1417	13340	771
1418	13351	762
1419	13360	752
1420	13371	743
1421	13380	733
1422	13392	724
1423	13404	715
1424	13414	706
1425	13424	696
1426	13433	687
1427	13441	677
1428	13451	668
1429	13462	659
1430	13475	649
1431	13488	640
1432	13509	631
1433	13517	622
1434	13528	612
1435	13539	603
1436	13552	594
1437	13563	584
1438	13574	575
1439	13584	566
1440	13591	556
1441	13603	547
1442	13614	537
1443	13624	528
1444	13635	519
1445	13645	509
1446	13657	500
1447	13669	490
1448	13680	481
1449	13693	472
1450	13802	466
1451	13809	456
1452	13820	447
1453	13834	437
1454	13850	428
1455	13857	418
1456	13864	409
1457	13873	399
1458	13883	390
1459	13892	380
1460	13901	371
1461	13910	361
1462	13917	351
1463	13929	342
1464	13935	332
1465	13945	323
1466	13954	313
1467	13965	304
1468	13973	294
